,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,time,mlups,bandwidth,compute
222,H100,CUDA Explicit Memory,194,1,1,1024,2,float,173.843,1.14273,0.00457092,149.78
223,H100,CUDA Explicit Memory,207,1,1,1024,2,float,173.88,1.21905,0.0048762,159.783
224,H100,CUDA Explicit Memory,222,1,1,1024,2,float,173.901,1.30723,0.00522891,171.341
225,H100,CUDA Explicit Memory,238,1,1,1024,2,float,173.854,1.40182,0.00560729,183.74
226,H100,CUDA Explicit Memory,256,1,1,1024,2,float,173.907,1.50738,0.00602953,197.576
227,H100,CUDA Explicit Memory,274,1,1,1024,2,float,173.877,1.61365,0.00645459,211.504
228,H100,CUDA Explicit Memory,294,1,1,1024,2,float,173.864,1.73156,0.00692622,226.958
229,H100,CUDA Explicit Memory,315,1,1,1024,2,float,173.87,1.85518,0.00742073,243.163
230,H100,CUDA Explicit Memory,337,1,1,1024,2,float,173.862,1.98483,0.00793933,260.156
231,H100,CUDA Explicit Memory,362,1,1,1024,2,float,173.872,2.13196,0.00852784,279.44
232,H100,CUDA Explicit Memory,388,1,1,1024,2,float,173.876,2.28503,0.00914012,299.503
233,H100,CUDA Explicit Memory,415,1,1,1024,2,float,173.893,2.4438,0.00977518,320.313
234,H100,CUDA Explicit Memory,445,1,1,1024,2,float,173.889,2.62053,0.0104821,343.478
235,H100,CUDA Explicit Memory,477,1,1,1024,2,float,173.956,2.80788,0.0112315,368.035
236,H100,CUDA Explicit Memory,512,1,1,1024,2,float,173.935,3.01428,0.0120571,395.087
237,H100,CUDA Explicit Memory,548,1,1,1024,2,float,173.901,3.22685,0.0129074,422.949
238,H100,CUDA Explicit Memory,588,1,1,1024,2,float,173.897,3.46246,0.0138498,453.832
239,H100,CUDA Explicit Memory,630,1,1,1024,2,float,173.923,3.70923,0.0148369,486.176
240,H100,CUDA Explicit Memory,675,1,1,1024,2,float,174.051,3.97126,0.015885,520.521
241,H100,CUDA Explicit Memory,724,1,1,1024,2,float,173.894,4.26338,0.0170535,558.81
242,H100,CUDA Explicit Memory,776,1,1,1024,2,float,173.909,4.5692,0.0182768,598.895
243,H100,CUDA Explicit Memory,831,1,1,1024,2,float,173.951,4.89187,0.0195675,641.187
244,H100,CUDA Explicit Memory,891,1,1,1024,2,float,173.989,5.24392,0.0209757,687.331
245,H100,CUDA Explicit Memory,955,1,1,1024,2,float,173.898,5.62351,0.022494,737.085
246,H100,CUDA Explicit Memory,1024,1,1,1024,2,float,173.912,6.02934,0.0241174,790.278
247,H100,CUDA Explicit Memory,1097,1,1,1024,2,float,173.9,6.45963,0.0258385,846.677
248,H100,CUDA Explicit Memory,1176,1,1,1024,2,float,173.885,6.92542,0.0277017,907.728
249,H100,CUDA Explicit Memory,1260,1,1,1024,2,float,173.936,7.41791,0.0296716,972.28
250,H100,CUDA Explicit Memory,1351,1,1,1024,2,float,173.934,7.95375,0.031815,1042.51
251,H100,CUDA Explicit Memory,1448,1,1,1024,2,float,173.916,8.52568,0.0341027,1117.48
252,H100,CUDA Explicit Memory,1552,1,1,1024,2,float,173.903,9.13872,0.0365549,1197.83
253,H100,CUDA Explicit Memory,1663,1,1,1024,2,float,173.9,9.79247,0.0391699,1283.52
254,H100,CUDA Explicit Memory,1782,1,1,1024,2,float,173.918,10.4921,0.0419684,1375.22
255,H100,CUDA Explicit Memory,1910,1,1,1024,2,float,173.891,11.2475,0.0449901,1474.24
256,H100,CUDA Explicit Memory,2048,1,1,1024,2,float,173.882,12.0607,0.048243,1580.83
257,H100,CUDA Explicit Memory,2194,1,1,1024,2,float,173.877,12.921,0.0516839,1693.58
258,H100,CUDA Explicit Memory,2352,1,1,1024,2,float,173.914,13.8485,0.0553941,1815.15
259,H100,CUDA Explicit Memory,2521,1,1,1024,2,float,173.929,14.8423,0.059369,1945.4
260,H100,CUDA Explicit Memory,2702,1,1,1024,2,float,173.972,15.904,0.0636159,2084.57
261,H100,CUDA Explicit Memory,2896,1,1,1024,2,float,173.969,17.0462,0.0681848,2234.28
262,H100,CUDA Explicit Memory,3104,1,1,1024,2,float,173.94,18.2735,0.0730942,2395.15
263,H100,CUDA Explicit Memory,3326,1,1,1024,2,float,174.013,19.5723,0.0782891,2565.38
264,H100,CUDA Explicit Memory,3565,1,1,1024,2,float,173.969,20.984,0.083936,2750.42
265,H100,CUDA Explicit Memory,3821,1,1,1024,2,float,173.988,22.4883,0.0899534,2947.59
266,H100,CUDA Explicit Memory,4096,1,1,1024,2,float,174.027,24.1015,0.096406,3159.03
267,H100,CUDA Explicit Memory,4389,1,1,1024,2,float,174.185,25.8021,0.103208,3381.93
268,H100,CUDA Explicit Memory,4705,1,1,1024,2,float,173.978,27.6927,0.110771,3629.73
269,H100,CUDA Explicit Memory,5042,1,1,1024,2,float,173.98,29.6758,0.118703,3889.67
270,H100,CUDA Explicit Memory,5404,1,1,1024,2,float,174.009,31.8012,0.127205,4168.24
271,H100,CUDA Explicit Memory,5792,1,1,1024,2,float,174.178,34.0514,0.136206,4463.19
272,H100,CUDA Explicit Memory,6208,1,1,1024,2,float,174.003,36.5337,0.146135,4788.55
273,H100,CUDA Explicit Memory,6653,1,1,1024,2,float,174.007,39.1518,0.156607,5131.71
274,H100,CUDA Explicit Memory,7131,1,1,1024,2,float,174.044,41.9558,0.167823,5499.23
