,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,stride,time,mlups,bandwidth,compute
188,A100-SXM4-80GB,CUDA Explicit Memory,17,1,1,1024,2,double,2,290.332,0.0599589,0.000479671,7.85894
189,A100-SXM4-80GB,CUDA Explicit Memory,18,1,1,1024,2,double,2,290.311,0.0634906,0.000507925,8.32184
190,A100-SXM4-80GB,CUDA Explicit Memory,19,1,1,1024,2,double,2,290.283,0.0670242,0.000536193,8.78499
191,A100-SXM4-80GB,CUDA Explicit Memory,21,1,1,1024,2,double,2,290.331,0.0740673,0.000592538,9.70815
192,A100-SXM4-80GB,CUDA Explicit Memory,22,1,1,1024,2,double,2,290.342,0.0775912,0.000620729,10.17
193,A100-SXM4-80GB,CUDA Explicit Memory,24,1,1,1024,2,double,2,290.317,0.0846524,0.000677219,11.0956
194,A100-SXM4-80GB,CUDA Explicit Memory,25,1,1,1024,2,double,2,290.358,0.0881671,0.000705337,11.5562
195,A100-SXM4-80GB,CUDA Explicit Memory,27,1,1,1024,2,double,2,290.49,0.095177,0.000761416,12.475
196,A100-SXM4-80GB,CUDA Explicit Memory,29,1,1,1024,2,double,2,290.311,0.10229,0.000818321,13.4074
197,A100-SXM4-80GB,CUDA Explicit Memory,32,1,1,1024,2,double,2,290.385,0.112843,0.000902745,14.7906
198,A100-SXM4-80GB,CUDA Explicit Memory,34,1,1,1024,2,double,2,290.486,0.119855,0.000958836,15.7096
199,A100-SXM4-80GB,CUDA Explicit Memory,36,1,1,1024,2,double,2,290.283,0.126993,0.00101594,16.6452
200,A100-SXM4-80GB,CUDA Explicit Memory,39,1,1,1024,2,double,2,290.35,0.137544,0.00110036,18.0282
201,A100-SXM4-80GB,CUDA Explicit Memory,42,1,1,1024,2,double,2,290.355,0.148122,0.00118498,19.4147
202,A100-SXM4-80GB,CUDA Explicit Memory,45,1,1,1024,2,double,2,290.37,0.158694,0.00126955,20.8003
203,A100-SXM4-80GB,CUDA Explicit Memory,48,1,1,1024,2,double,2,290.359,0.16928,0.00135424,22.1879
204,A100-SXM4-80GB,CUDA Explicit Memory,51,1,1,1024,2,double,2,290.446,0.179806,0.00143845,23.5676
205,A100-SXM4-80GB,CUDA Explicit Memory,55,1,1,1024,2,double,2,290.405,0.193936,0.00155149,25.4196
206,A100-SXM4-80GB,CUDA Explicit Memory,59,1,1,1024,2,double,2,290.342,0.208086,0.00166469,27.2742
207,A100-SXM4-80GB,CUDA Explicit Memory,64,1,1,1024,2,double,2,290.356,0.225709,0.00180567,29.5841
